ID,registration_started,registration_finished,campus,program,"Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most4","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most5","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most6","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most7","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most8","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most9","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most10","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most11","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most12","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most13",Tværfagligt problemdesign,Systemtænkning i ingeniørvidenskab,Etisk teknologivurdering,Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,Digitale praksisser i projektarbejdet,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,"Motivation, trivsel og work-life balance",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Ethical technology assessment,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Professional identity development,Interdisciplinary problem design,Systems thinking in engineering,Collaboration across discplines,Facilitation of productive meeting,SCRUM-techniques in project work?,Generative AI in study practices?,"Motivation, well-being and work-life balance?",Creativity and entrepeneurship,Psychological safety in teamwork,Digital practices in project work,SUMA,Tværfagligt problemdesign.1,Systemtænkning i ingeniørvidenskab.1,Etisk teknologivurdering.1,Psykologisk tryghed i teams.1,Samarbejde på tværs af fagligheder.1,Facilitering af produktive møder.1,Digitale praksisser i projektarbejdet.1,SCRUM-teknikker i projektarbejdet.1,Generativ AI i studiepraksis.1,"Motivation, trivsel og work-life balance.1",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day).1,Clarification of individual professional competences.1,Ethical technology assessment?,Psychological safety in team work.1,Professional communication with external partners.1,Leadership and project management.1,Digital and hybrid practices in collaborative work.1,Professional identity development.1,Interdisciplinary problem design.1,Systems thinking in engineering.1,Collaboration across discplines.1,Facilitation of productive meeting.1,SCRUM-techniques in project work?.1,Generative AI in study practices?.1,"Motivation, well-being and work-life balance?.1",Creativity and entrepeneurship.1,Psychological safety in teamwork.1,Digital practices in project work.1
271,2025-02-11 11:24:33.514781045,2025-02-11 11:27:39.128855642,AAL,master,Clarification of individual professional competences,Professional identity development,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Psychological safety in team work,Ethical technology assessment,,,,,,,,,,,,,,1,,,,,3,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,2025-02-10 12:16:45.601377510,2025-02-10 12:18:58.490940210,CPH,bachelor,"Motivation, trivsel og work-life balance",Psykologisk tryghed i teams,Collaboration across discplines,Ethical technology assessment?,Facilitering af produktive møder,Systemtænkning i ingeniørvidenskab,Etisk teknologivurdering,Digitale praksisser i projektarbejdet,Digital practices in project work,Psychological safety in teamwork,,,,2,,,,,,1,,,,,,,,,,,3,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2025-02-12 11:03:31.156202878,2025-02-12 11:07:10.823762838,AAL,bachelor,Interdisciplinary problem design,Tværfagligt problemdesign,Digitale praksisser i projektarbejdet,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,Etisk teknologivurdering,Generativ AI i studiepraksis,SCRUM-teknikker i projektarbejdet,SCRUM-techniques in project work?,Psykologisk tryghed i teams,2,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,2025-02-11 18:41:14.313299965,2025-02-11 18:45:09.816816000,CPH,bachelor,Ethical technology assessment,Generative AI in study practices?,Tværfagligt problemdesign,Digitale praksisser i projektarbejdet,Samarbejde på tværs af fagligheder,SCRUM-techniques in project work?,Facilitering af produktive møder,"Motivation, trivsel og work-life balance",SCRUM-teknikker i projektarbejdet,Generative AI in study practices?,3,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,2025-02-09 11:14:29.543729298,2025-02-09 11:16:02.276773090,CPH,master,Ethical technology assessment,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Leadership and project management,Clarification of individual professional competences,Psychological safety in team work,,,,,,,,,,,,,3,,1,,,,,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,2025-02-08 07:11:27.505250866,2025-02-08 07:12:03.534584447,CPH,master,Ethical technology assessment,Clarification of individual professional competences,Psychological safety in team work,Digital and hybrid practices in collaborative work,Professional identity development,Leadership and project management,Professional communication with external partners,Creativity and entrepeneurship,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,2025-02-10 10:39:40.132945475,2025-02-10 10:40:26.086768486,ESB,master,Professional identity development,Psychological safety in team work,Professional communication with external partners,Digital and hybrid practices in collaborative work,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Creativity and entrepeneurship,,,,,,,,,,,,,,,,2,3,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,2025-02-11 10:52:48.332852054,2025-02-11 11:10:54.715144251,ESB,bachelor,"Motivation, well-being and work-life balance?",Psychological safety in teamwork,Ethical technology assessment,Tværfagligt problemdesign,Systems thinking in engineering,Digitale praksisser i projektarbejdet,Generative AI in study practices?,SCRUM-techniques in project work?,Generativ AI i studiepraksis,SCRUM-teknikker i projektarbejdet,,,,,,,,,,,,,3,,,,,,,,,,,,1,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2025-02-07 15:32:46.968307015,2025-02-07 15:34:24.597319956,ESB,bachelor,Systems thinking in engineering,Facilitation of productive meeting,Collaboration across discplines,Etisk teknologivurdering,Facilitering af produktive møder,Tværfagligt problemdesign,Generativ AI i studiepraksis,Digital practices in project work,Samarbejde på tværs af fagligheder,Samarbejde på tværs af fagligheder,,,,,,,,,,,,,,,,,,,,1,3,2,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,2025-02-12 18:04:23.622248358,2025-02-12 18:08:12.725330915,AAL,bachelor,"Motivation, trivsel og work-life balance",Systems thinking in engineering,Systemtænkning i ingeniørvidenskab,Tværfagligt problemdesign,Psykologisk tryghed i teams,Digitale praksisser i projektarbejdet,Facilitering af produktive møder,Generative AI in study practices?,SCRUM-teknikker i projektarbejdet,Samarbejde på tværs af fagligheder,,3,,,,,,,,1,,,,,,,,,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,2025-02-13 12:44:41.846248080,2025-02-13 12:46:18.339672534,ESB,bachelor,Generative AI in study practices?,SCRUM-teknikker i projektarbejdet,Tværfagligt problemdesign,Psykologisk tryghed i teams,Ethical technology assessment?,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,"Motivation, well-being and work-life balance?",Digitale praksisser i projektarbejdet,Samarbejde på tværs af fagligheder,3,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,2025-02-13 22:38:36.484353770,2025-02-13 22:40:57.101474194,ESB,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Ethical technology assessment,Professional communication with external partners,Professional identity development,Psychological safety in team work,Leadership and project management,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2025-02-11 10:22:11.539154357,2025-02-11 10:24:40.071426641,CPH,bachelor,Interdisciplinary problem design,Psychological safety in teamwork,Psykologisk tryghed i teams,Digital practices in project work,"Motivation, trivsel og work-life balance",Facilitering af produktive møder,Samarbejde på tværs af fagligheder,Generativ AI i studiepraksis,Tværfagligt problemdesign,"Motivation, well-being and work-life balance?",,,,3,,,,,,,,,,,,,,,1,,,,,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,2025-02-12 12:56:34.661050029,2025-02-12 12:58:49.345982554,AAL,bachelor,Interdisciplinary problem design,Collaboration across discplines,Digitale praksisser i projektarbejdet,"Motivation, trivsel og work-life balance",Facilitation of productive meeting,Systemtænkning i ingeniørvidenskab,Psykologisk tryghed i teams,"Motivation, well-being and work-life balance?",Samarbejde på tværs af fagligheder,Systemtænkning i ingeniørvidenskab,,,,,,,3,,,,,,,,,,,,1,,2,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2025-02-11 10:39:43.478592054,2025-02-11 10:49:31.399035923,ESB,master,Digital and hybrid practices in collaborative work,Professional communication with external partners,Clarification of individual professional competences,Professional identity development,Ethical technology assessment,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,,,,,,,,,,,,,,3,,,2,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,2025-02-05 11:37:32.085631142,2025-02-05 15:39:20.444414973,CPH,bachelor,Etisk teknologivurdering,Systemtænkning i ingeniørvidenskab,Generativ AI i studiepraksis,Collaboration across discplines,"Motivation, well-being and work-life balance?",Interdisciplinary problem design,Facilitering af produktive møder,SCRUM-teknikker i projektarbejdet,Ethical technology assessment?,Etisk teknologivurdering,,2,1,,,,,,3,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,2025-02-06 20:31:02.920823084,2025-02-06 20:33:47.038213091,CPH,bachelor,Systems thinking in engineering,"Motivation, trivsel og work-life balance",Facilitering af produktive møder,Etisk teknologivurdering,Systemtænkning i ingeniørvidenskab,Digitale praksisser i projektarbejdet,Facilitation of productive meeting,Collaboration across discplines,Ethical technology assessment?,Systemtænkning i ingeniørvidenskab,,,,,,3,,,,2,,,,,,,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,2025-02-12 13:26:53.614084278,2025-02-12 13:28:56.625625374,CPH,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Ethical technology assessment,Digital and hybrid practices in collaborative work,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Creativity and entrepeneurship,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,2025-02-11 11:48:21.618644161,2025-02-11 11:50:23.361680333,AAL,master,Psychological safety in team work,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Leadership and project management,Professional communication with external partners,Ethical technology assessment,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,3,2,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,2025-02-12 19:17:47.273522367,2025-02-12 19:18:36.022080028,CPH,bachelor,Samarbejde på tværs af fagligheder,"Motivation, trivsel og work-life balance",Psykologisk tryghed i teams,SCRUM-teknikker i projektarbejdet,Psychological safety in teamwork,Tværfagligt problemdesign,Systemtænkning i ingeniørvidenskab,"Motivation, well-being and work-life balance?",Digital practices in project work,"Motivation, well-being and work-life balance?",,,,3,1,,,,,2,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,2025-02-12 23:53:42.469849475,2025-02-12 23:54:52.424098607,ESB,bachelor,"Motivation, trivsel og work-life balance",Etisk teknologivurdering,Collaboration across discplines,Digital practices in project work,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,Samarbejde på tværs af fagligheder,Digitale praksisser i projektarbejdet,Digital practices in project work,Digitale praksisser i projektarbejdet,,,2,,,,,,,1,,,,,,,,,,,3,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,2025-02-10 13:59:02.111087504,2025-02-10 14:04:44.070388042,ESB,bachelor,Etisk teknologivurdering,Systemtænkning i ingeniørvidenskab,Facilitation of productive meeting,SCRUM-teknikker i projektarbejdet,Samarbejde på tværs af fagligheder,Psykologisk tryghed i teams,Collaboration across discplines,Digital practices in project work,Facilitering af produktive møder,Psykologisk tryghed i teams,,2,1,,,,,,,,,,,,,,,,,,,3,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,2025-02-12 10:15:44.249377450,2025-02-12 10:42:13.937143829,CPH,master,Leadership and project management,Digital and hybrid practices in collaborative work,Professional identity development,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Psychological safety in team work,Professional communication with external partners,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,2025-02-10 08:43:35.027892116,2025-02-10 08:49:50.067815146,ESB,bachelor,Facilitation of productive meeting,"Motivation, trivsel og work-life balance",Psykologisk tryghed i teams,Digital practices in project work,"Motivation, well-being and work-life balance?",Psychological safety in teamwork,Tværfagligt problemdesign,Generativ AI i studiepraksis,Digitale praksisser i projektarbejdet,Generative AI in study practices?,,,,3,,,,,,2,,,,,,,,,,,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,2025-02-11 13:33:33.708069111,2025-02-11 13:41:25.675116163,AAL,master,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Psychological safety in team work,Ethical technology assessment,Creativity and entrepeneurship,Clarification of individual professional competences,Professional communication with external partners,,,,,,,,,,,,,2,,,,,1,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,2025-02-10 12:10:57.384349841,2025-02-10 12:12:16.391548729,CPH,bachelor,Generative AI in study practices?,Facilitering af produktive møder,Facilitation of productive meeting,Systemtænkning i ingeniørvidenskab,Interdisciplinary problem design,Digitale praksisser i projektarbejdet,Psychological safety in teamwork,Collaboration across discplines,"Motivation, trivsel og work-life balance",Psychological safety in teamwork,,,,,,2,,,,,,,,,,,,,,,,3,,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,2025-02-08 14:01:43.994458983,2025-02-08 14:04:44.018959483,CPH,bachelor,Generativ AI i studiepraksis,Collaboration across discplines,SCRUM-teknikker i projektarbejdet,Samarbejde på tværs af fagligheder,Generative AI in study practices?,Digital practices in project work,Facilitering af produktive møder,"Motivation, well-being and work-life balance?",Generative AI in study practices?,Psykologisk tryghed i teams,,,,,,,,3,1,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,2025-02-11 15:50:06.774407540,2025-02-11 15:52:49.271010078,CPH,bachelor,Systemtænkning i ingeniørvidenskab,Samarbejde på tværs af fagligheder,Systems thinking in engineering,SCRUM-techniques in project work?,Generativ AI i studiepraksis,Interdisciplinary problem design,Digitale praksisser i projektarbejdet,SCRUM-teknikker i projektarbejdet,Systemtænkning i ingeniørvidenskab,"Motivation, trivsel og work-life balance",,1,,,2,,,,,,,,,,,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,2025-02-11 10:15:12.181270243,2025-02-11 10:16:48.643191466,CPH,master,Clarification of individual professional competences,Ethical technology assessment,Professional communication with external partners,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,,,,,,,,,,,,,,1,2,,3,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,2025-02-11 11:16:09.734208200,2025-02-11 11:22:45.021475169,CPH,bachelor,Systemtænkning i ingeniørvidenskab,Digitale praksisser i projektarbejdet,Facilitering af produktive møder,"Motivation, trivsel og work-life balance",SCRUM-techniques in project work?,Etisk teknologivurdering,Tværfagligt problemdesign,Samarbejde på tværs af fagligheder,SCRUM-teknikker i projektarbejdet,Ethical technology assessment?,,1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,2025-02-11 12:22:43.573938454,2025-02-11 12:24:03.598933859,ESB,master,Professional communication with external partners,Professional identity development,Leadership and project management,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Clarification of individual professional competences,Psychological safety in team work,,,,,,,,,,,,,,,,,1,3,,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,2025-02-11 11:15:12.916849518,2025-02-11 11:17:40.706887222,CPH,bachelor,Facilitering af produktive møder,"Motivation, trivsel og work-life balance",Etisk teknologivurdering,Systemtænkning i ingeniørvidenskab,Psychological safety in teamwork,Samarbejde på tværs af fagligheder,Ethical technology assessment?,Psykologisk tryghed i teams,Psychological safety in teamwork,SCRUM-teknikker i projektarbejdet,,,3,,,1,,,,2,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,2025-02-11 13:03:51.585095007,2025-02-11 13:22:20.913209060,CPH,bachelor,Ethical technology assessment,Systemtænkning i ingeniørvidenskab,Samarbejde på tværs af fagligheder,Interdisciplinary problem design,Facilitering af produktive møder,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,Facilitation of productive meeting,Digitale praksisser i projektarbejdet,Tværfagligt problemdesign,,2,,,3,,,,,,,,1,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,2025-02-10 12:47:51.545530053,2025-02-10 12:53:16.786257018,CPH,bachelor,Generativ AI i studiepraksis,Facilitering af produktive møder,Facilitation of productive meeting,Etisk teknologivurdering,Tværfagligt problemdesign,Interdisciplinary problem design,Digital practices in project work,"Motivation, well-being and work-life balance?",Facilitering af produktive møder,Tværfagligt problemdesign,,,,,,2,,,1,,,,,,,,,,,,,3,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,2025-02-11 09:18:24.592236231,2025-02-11 09:21:02.435569701,AAL,bachelor,Psykologisk tryghed i teams,Etisk teknologivurdering,SCRUM-teknikker i projektarbejdet,"Motivation, trivsel og work-life balance",Generative AI in study practices?,Interdisciplinary problem design,Digitale praksisser i projektarbejdet,Samarbejde på tværs af fagligheder,Systemtænkning i ingeniørvidenskab,Tværfagligt problemdesign,,,2,1,,,,3,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2025-02-10 13:42:42.919572817,2025-02-10 13:57:14.992266419,AAL,bachelor,"Motivation, trivsel og work-life balance",Facilitation of productive meeting,SCRUM-techniques in project work?,Samarbejde på tværs af fagligheder,Interdisciplinary problem design,Digitale praksisser i projektarbejdet,Generativ AI i studiepraksis,Tværfagligt problemdesign,Psykologisk tryghed i teams,Generativ AI i studiepraksis,,,,,,,,,,1,,,,,,,,,,,,2,3,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,2025-02-12 10:13:25.754452447,2025-02-12 10:14:38.600368662,AAL,bachelor,Generativ AI i studiepraksis,Facilitering af produktive møder,Tværfagligt problemdesign,Ethical technology assessment?,"Motivation, well-being and work-life balance?",Samarbejde på tværs af fagligheder,Systemtænkning i ingeniørvidenskab,Collaboration across discplines,Systemtænkning i ingeniørvidenskab,Tværfagligt problemdesign,3,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,2025-02-11 10:35:38.060172827,2025-02-11 10:35:57.525166154,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Psychological safety in team work,Leadership and project management,Professional identity development,Professional communication with external partners,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,2025-02-10 22:28:41.775126944,2025-02-10 22:30:31.998475271,AAL,bachelor,Tværfagligt problemdesign,Ethical technology assessment,Collaboration across discplines,Etisk teknologivurdering,SCRUM-teknikker i projektarbejdet,Systemtænkning i ingeniørvidenskab,Psychological safety in teamwork,Facilitation of productive meeting,SCRUM-techniques in project work?,Digitale praksisser i projektarbejdet,1,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,2025-02-11 11:32:26.109760594,2025-02-11 11:36:58.714296711,CPH,bachelor,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,"Motivation, trivsel og work-life balance",Generativ AI i studiepraksis,SCRUM-techniques in project work?,Ethical technology assessment?,Facilitation of productive meeting,Etisk teknologivurdering,Systemtænkning i ingeniørvidenskab,Psykologisk tryghed i teams,,,,,1,2,,,,3,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2025-02-11 15:32:22.419045889,2025-02-11 15:32:40.283093497,CPH,bachelor,Facilitering af produktive møder,Samarbejde på tværs af fagligheder,Digitale praksisser i projektarbejdet,Digital practices in project work,Generative AI in study practices?,Tværfagligt problemdesign,Facilitation of productive meeting,SCRUM-techniques in project work?,Digital practices in project work,Ethical technology assessment?,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2025-02-06 21:58:07.398341267,2025-02-06 22:01:32.163169662,AAL,master,Ethical technology assessment,Creativity and entrepeneurship,Clarification of individual professional competences,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Psychological safety in team work,Professional identity development,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,2025-02-10 09:32:19.746166055,2025-02-10 09:33:39.896966295,AAL,bachelor,Digital practices in project work,Generativ AI i studiepraksis,Facilitering af produktive møder,Systemtænkning i ingeniørvidenskab,Interdisciplinary problem design,Collaboration across discplines,SCRUM-teknikker i projektarbejdet,Etisk teknologivurdering,"Motivation, trivsel og work-life balance",Tværfagligt problemdesign,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,2025-02-07 09:23:03.107512347,2025-02-07 09:27:32.345647644,CPH,bachelor,Generative AI in study practices?,Systems thinking in engineering,Digital practices in project work,Ethical technology assessment?,Facilitation of productive meeting,"Motivation, trivsel og work-life balance",Generativ AI i studiepraksis,Systemtænkning i ingeniørvidenskab,Generative AI in study practices?,"Motivation, well-being and work-life balance?",,,,,,,,,,,,,,,,,,,,2,,,,1,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2025-02-10 18:05:28.310682438,2025-02-10 18:10:22.268351430,AAL,bachelor,Digital practices in project work,Facilitation of productive meeting,Samarbejde på tværs af fagligheder,Generativ AI i studiepraksis,Systems thinking in engineering,Psychological safety in teamwork,Etisk teknologivurdering,"Motivation, trivsel og work-life balance",Ethical technology assessment?,Generativ AI i studiepraksis,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,2025-02-10 19:03:15.794151001,2025-02-10 19:09:06.104833772,CPH,bachelor,Etisk teknologivurdering,Interdisciplinary problem design,Systems thinking in engineering,"Motivation, trivsel og work-life balance",Generative AI in study practices?,Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,Psychological safety in teamwork,Etisk teknologivurdering,"Motivation, well-being and work-life balance?",,,1,,,,,,,,,,,,,,,,2,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2025-02-09 17:54:21.092009894,2025-02-09 18:23:39.046852848,CPH,bachelor,Tværfagligt problemdesign,Generative AI in study practices?,Facilitation of productive meeting,Generativ AI i studiepraksis,Ethical technology assessment?,Digitale praksisser i projektarbejdet,Collaboration across discplines,Etisk teknologivurdering,Psychological safety in teamwork,Psychological safety in teamwork,1,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2025-02-09 23:03:59.993517766,2025-02-09 23:12:27.188005347,CPH,bachelor,Generativ AI i studiepraksis,Tværfagligt problemdesign,Psykologisk tryghed i teams,Digitale praksisser i projektarbejdet,"Motivation, trivsel og work-life balance",Facilitering af produktive møder,Generative AI in study practices?,Facilitation of productive meeting,Digitale praksisser i projektarbejdet,Facilitering af produktive møder,2,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2025-02-12 11:22:32.822533112,2025-02-12 11:24:07.512724107,AAL,bachelor,Etisk teknologivurdering,Generative AI in study practices?,Digital practices in project work,Samarbejde på tværs af fagligheder,Digitale praksisser i projektarbejdet,"Motivation, trivsel og work-life balance",Generativ AI i studiepraksis,Collaboration across discplines,Generativ AI i studiepraksis,Generativ AI i studiepraksis,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,2025-02-11 14:12:43.801458240,2025-02-11 14:14:01.293183005,CPH,master,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Professional identity development,Creativity and entrepeneurship,Clarification of individual professional competences,Ethical technology assessment,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2025-02-13 12:20:57.225231149,2025-02-13 12:28:52.163943100,AAL,bachelor,Facilitation of productive meeting,Collaboration across discplines,Facilitering af produktive møder,SCRUM-teknikker i projektarbejdet,Ethical technology assessment?,Systemtænkning i ingeniørvidenskab,Generativ AI i studiepraksis,"Motivation, well-being and work-life balance?",Generative AI in study practices?,Etisk teknologivurdering,,,,,,3,,,,,,,,,,,,,,,2,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,2025-02-08 13:53:33.561407791,2025-02-08 14:00:50.098479798,AAL,master,Clarification of individual professional competences,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Ethical technology assessment,Digital and hybrid practices in collaborative work,Psychological safety in team work,Creativity and entrepeneurship,,,,,,,,,,,,,3,1,,,,,,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,2025-02-10 13:14:36.569603683,2025-02-10 13:23:14.949312291,CPH,master,Professional communication with external partners,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Leadership and project management,Digital and hybrid practices in collaborative work,Psychological safety in team work,Clarification of individual professional competences,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
